"event","gender","athletes"
"Swimming Women's 4 x 100 metres Medley Relay","female","56"
"Swimming Women's 4 x 100 metres Freestyle Relay","female","55"
"Swimming Women's 4 x 200 metres Freestyle Relay","female","52"
"Gymnastics Women's Team All-Around","female","50"
"Swimming Men's 4 x 200 metres Freestyle Relay","male","49"
"Gymnastics Men's Team All-Around","male","45"
"Swimming Men's 4 x 100 metres Medley Relay","male","45"
"Swimming Men's 4 x 100 metres Freestyle Relay","male","44"
"Gymnastics Women's Floor Exercise","female","43"
"Gymnastics Women's Uneven Bars","female","43"
